Residuos Urbanos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;A01002716;OLAZABAL Y HUARTE;0100000205;OLAZABAL Y HUARTE;Vitoria-Gasteiz;200301;Mezclas de residuos municipales;D1;Urbano;5860;KG
2008;A01001940;PIROTECNIA LECEA;0100001356;PIROTECNIA LECEA S.A.;Barrundia;020104;Residuos de plásticos (excepto embalajes);R13;Urbano;1500;KG
2008;A01258458;RAMONDIN CAPSULAS;0100001348;RAMONDIN CÁPSULAS, S.A.;Laguardia;200301;Mezclas de residuos municipales;D2;Urbano;70000;KG
2008;B01292903;SIDENOR INDUSTRIAL;0100002541;SIDENOR INDUSTRIAL FABRICA DE VITORIA-GASTEIZ;Vitoria-Gasteiz;200301;Mezclas de residuos municipales;R13;Urbano;56970;KG
2008;A20516233;SNA EUROPE INDUSTRIES IBERIA;0100000388;SNA EUROPE INDUSTRIES IBERIA, S.A. (PLANTA DE VITORIA-GASTEIZ);Vitoria-Gasteiz;150103;Envases de madera;R13;Urbano;12000;KG
2008;A20516233;SNA EUROPE INDUSTRIES IBERIA;0100000388;SNA EUROPE INDUSTRIES IBERIA, S.A. (PLANTA DE VITORIA-GASTEIZ);Vitoria-Gasteiz;150101;Envases de papel y cartón;R13;Urbano;16500;KG
2008;A20516233;SNA EUROPE INDUSTRIES IBERIA;0100000388;SNA EUROPE INDUSTRIES IBERIA, S.A. (PLANTA DE VITORIA-GASTEIZ);Vitoria-Gasteiz;170405;Hierro y acero;R13;Urbano;1289360;KG
2008;A48969935;TREFILADOS DE URBINA;0100001855;TREFILADOS DE URBINA,S.A;Legutiano;191201;Papel y cartón;R13;Urbano;2110;KG
2008;A48969935;TREFILADOS DE URBINA;0100001855;TREFILADOS DE URBINA,S.A;Legutiano;200399;Residuos municipales no especificados en otra categoría;R13;Urbano;6620;KG
2008;A01140227;TUBACEX TUBOS INOXIDABLES;0100000607;TTI. AMURRIO, S.A.;Amurrio;200301;Mezclas de residuos municipales;R13;Urbano;10232,47;KG
2008;B01463694;TUBOS REUNIDOS INDUSTRIAL S.L.U.;0100002267;TUBOS REUNIDOS INDUSTRIAL S.L.U.;Amurrio;200139;Plásticos;R5;Urbano;0;KG
2008;B01463694;TUBOS REUNIDOS INDUSTRIAL S.L.U.;0100002267;TUBOS REUNIDOS INDUSTRIAL S.L.U.;Amurrio;200399;Residuos municipales no especificados en otra categoría;D5;Urbano;0;KG
2008;P0106800F;AYUNTAMIENTO DE VITORIA-GASTEIZ;0100002702;Vertedero de Gardelegui;Vitoria-Gasteiz;200301;Mezclas de residuos municipales;R13;Urbano;104972000;KG
2008;B62575873;ZEOLITAS DE ALAVA;0100011549;ZEOLITAS DE ALAVA, S.L.;Lantarón;200301;Mezclas de residuos municipales;D15/R1;Urbano;11948;KG
2008;B62575873;ZEOLITAS DE ALAVA;0100011549;ZEOLITAS DE ALAVA, S.L.;Lantarón;191201;Papel y cartón;D15/R1;Urbano;1800;KG
2008;F20027090;AMPO;2000007176;AMPO S.COOP;Idiazabal;200301;Mezclas de residuos municipales;R13;Urbano;8700;KG
2008;A20015152;KROSAKI AMR REFRACTARIOS S.A.U.;2000000279;AMR Refractarios S.A. - FLORIDA;Hernani;150105;Envases compuestos;R13;Urbano;0;KG
2008;A20015152;KROSAKI AMR REFRACTARIOS S.A.U.;2000000279;AMR Refractarios S.A. - FLORIDA;Hernani;150103;Envases de madera;R13;Urbano;0;KG
2008;A20015152;KROSAKI AMR REFRACTARIOS S.A.U.;2000000279;AMR Refractarios S.A. - FLORIDA;Hernani;150101;Envases de papel y cartón;R13;Urbano;780;KG
2008;A20015152;KROSAKI AMR REFRACTARIOS S.A.U.;2000000279;AMR Refractarios S.A. - FLORIDA;Hernani;150102;Envases de plástico;R13;Urbano;3120;KG
2008;A20015152;KROSAKI AMR REFRACTARIOS S.A.U.;2000000279;AMR Refractarios S.A. - FLORIDA;Hernani;150107;Envases de vidrio;R13;Urbano;0;KG
2008;A20015152;KROSAKI AMR REFRACTARIOS S.A.U.;2000000279;AMR Refractarios S.A. - FLORIDA;Hernani;150104;Envases metálicos;R13;Urbano;1560;KG
