Contaminantes al AGUA de las e-DMAs E-PRTR ejercicio 2008 (Sumatorio cantidad másica por Contaminante);;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;Tipo;Contaminante;Descripción;Cod PRTR;Cantidad masica KG/Año
2008;A48663546;ACEROS INOXIDABLES OLARRA;4800001446;ACEROS INOXIDABLES OLARRA;Loiu;Agua;011008;BENZO(g, h, i)PERILENO (COMO PAH);(null);0
2008;A48663546;ACEROS INOXIDABLES OLARRA;4800001446;ACEROS INOXIDABLES OLARRA;Loiu;Agua;020125;SODIO;(null);18064,23
2008;A48004360;FAES FARMA;4800001449;FAES FARMA;Leioa;Agua;021700;SULFUROS;(null);1
2008;A48004360;FAES FARMA;4800001449;FAES FARMA;Leioa;Agua;010100;COMPUESTOS ORGANOHALOGENADOS Y SUSTANCIAS QUE PUEDAN DAR ORIGEN A COMPUESTOS DE ESTA CLASE EN EL MEDIO ACUATICO;40;792,19
2008;A48004360;FAES FARMA;4800001449;FAES FARMA;Leioa;Agua;010400;MERCURIO Y SUS COMPUESTOS;21;0,18
2008;B48966154;J.L. FRENCH ANSOLA;4800001498;J.L. FRENCH ANSOLA;Etxebarria;Agua;020113;MANGANESO;(null);1,6767
2008;B48966154;J.L. FRENCH ANSOLA;4800001498;J.L. FRENCH ANSOLA;Etxebarria;Agua;022400;ACEITES Y GRASAS;(null);1879,811
2008;B48966154;J.L. FRENCH ANSOLA;4800001498;J.L. FRENCH ANSOLA;Etxebarria;Agua;030700;DQO;(null);81961,671
2008;A48061485;VIDRIERIA Y CRISTALERIA DE LAMIACO;4800001505;Vidriería y Cristalería de Lamiaco S.A.;Leioa;Agua;021300;FLUORUROS;83;290,15875
2008;A28381473;ARKEMA QUIMICA;4800001391;ARKEMA QUIMICA, S.A. - ALONSOTEGI;Alonsotegi;Agua;020101;ALUMINIO;(null);107,6
2008;A28381473;ARKEMA QUIMICA;4800001391;ARKEMA QUIMICA, S.A. - ALONSOTEGI;Alonsotegi;Agua;020118;SELENIO;(null);0
2008;B48969877;BAHIA DE BIZKAIA ELECTRICIDAD;4800001434;BAHIA DE BIZKAIA ELECTRICIDAD;Zierbena;Agua;030900;MATERIAS SEDIMENTABLES;(null);0
2008;B95510046;ILARDUYA PRODUCTOS DE FUNDICION, S.L.U.;4800001443;ILARDUYA;Amorebieta-Etxano;Agua;020129;ARSÉNICO Y SUS COMPUESTOS;17;0,0002
2008;B95510046;ILARDUYA PRODUCTOS DE FUNDICION, S.L.U.;4800001443;ILARDUYA;Amorebieta-Etxano;Agua;011100;CLOROALCANOS (C10-C13);31;0
2008;B95510046;ILARDUYA PRODUCTOS DE FUNDICION, S.L.U.;4800001443;ILARDUYA;Amorebieta-Etxano;Agua;030700;DQO;(null);855,6575
2008;B95510046;ILARDUYA PRODUCTOS DE FUNDICION, S.L.U.;4800001443;ILARDUYA;Amorebieta-Etxano;Agua;031000;SOLIDOS EN SUSPENSION;(null);1,78
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Agua;020112;HIERRO;(null);421,645
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Agua;010108;1,2-DICLOROETANO (DCE);34;0
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Agua;010800;BTEX (BENCENO, TOLUENO, ETILBENCENO XILENOS);(null);14,21
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Agua;010201;CLORPIRIFOS;32;0
