Contaminantes al AIRE de las e-DMAs E-PRTR ejercicio 2008 (Sumatorio cantidad por Contaminante);;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;Tipo;Contaminante;Descripción;Cod PRTR;Cantidad KG/Año
2008;A01001908;GENERAL QUIMICA;0100000281;GENERAL QUIMICA S.A.;Lantarón;Aire;070102;OXIDO NITROSO (N2O);5;0
2008;A01001908;GENERAL QUIMICA;0100000281;GENERAL QUIMICA S.A.;Lantarón;Aire;040405;PENTACLOROFENOL (PCP);49;0
2008;A01001908;GENERAL QUIMICA;0100000281;GENERAL QUIMICA S.A.;Lantarón;Aire;040402;TETRACLOROMETANO (TCM);53;0
2008;A01001908;GENERAL QUIMICA;0100000281;GENERAL QUIMICA S.A.;Lantarón;Aire;040152;TOXAFENO;59;0
2008;A01001296;GAMARRA, S.A.;0100000221;GAMARRA S.A.;Vitoria-Gasteiz;Aire;020201;ARSENICO Y SUS COMPUESTOS;17;0,17449
2008;A01001049;QUINTON HAZELL ESPAÑA;0100000224;QUINTON HAZELL ESPAÑA;Laudio/Llodio;Aire;080000;PARTÍCULAS SÓLIDAS;(null);256,65
2008;A01001049;QUINTON HAZELL ESPAÑA;0100000224;QUINTON HAZELL ESPAÑA;Laudio/Llodio;Aire;030403;MONOXIDO DE CARBONO;2;105,8
2008;A01001049;QUINTON HAZELL ESPAÑA;0100000224;QUINTON HAZELL ESPAÑA;Laudio/Llodio;Aire;030404;DIOXIDO DE CARBONO;3;592237
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;Aire;080000;PARTÍCULAS SÓLIDAS;(null);150702
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;Aire;020203;NIQUEL Y SUS COMPUESTOS;22;51,184
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;Aire;020306;COBRE Y SUS COMPUESTOS;20;16
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;Aire;030402;OXIDOS DE NITROGENO;8;1142061,3
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;Aire;020102;MERCURIO Y SUS COMPUESTOS;21;0,412
2008;A48045900;DEGUISA;0100000543;DEGUISA, S.A;Amurrio;Aire;030401;OXIDOS DE AZUFRE;11;0
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;Aire;040404;NMVOC (COMPUESTOS ORGÁNICOS VOLÁTILES NO METÁNICOS);7;689,5
2008;A01129303;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.;0100000340;CEGASA;Vitoria-Gasteiz;Aire;010000;PARTICULAS SOLIDAS INERTES;(null);4108
2008;A20516233;SNA EUROPE INDUSTRIES IBERIA;0100000388;SNA EUROPE INDUSTRIES IBERIA, S.A. (PLANTA DE VITORIA-GASTEIZ);Vitoria-Gasteiz;Aire;070102;OXIDO NITROSO (N2O);5;7
2008;A01006055;GALVANIZADOS ALAVESES CABA;0100000407;GALVANIZADOS ALAVESES CABA, S.A.;Vitoria-Gasteiz;Aire;070105;METANO;1;25,13
2008;A01006055;GALVANIZADOS ALAVESES CABA;0100000407;GALVANIZADOS ALAVESES CABA, S.A.;Vitoria-Gasteiz;Aire;070102;OXIDO NITROSO (N2O);5;17,95
2008;B01418953;LITOGRAFIA ALAVESA, S.L.;0100000489;LITOGRAFIA ALAVESA - LITALSA;Oyón-Oion;Aire;040404;NMVOC (COMPUESTOS ORGÁNICOS VOLÁTILES NO METÁNICOS);7;11703,2
2008;A01141886;CASTINOX;0100000515;CASTINOX S.A;Amurrio;Aire;050302;BENCENO;62;531,979
2008;B61373718;PEMCO ESMALTES;0100000288;PEMCO ESMALTES (ANTIGUO EN OLARIZU, S/N);Vitoria-Gasteiz;Aire;020302;PLOMO Y SUS COMPUESTOS;23;0,03
2008;B61373718;PEMCO ESMALTES;0100000288;PEMCO ESMALTES (ANTIGUO EN OLARIZU, S/N);Vitoria-Gasteiz;Aire;020303;CROMO Y SUS COMPUESTOS;19;0,04
